Question,Option A,Option B,Option C,Option D
1. निम्नलिखित MS एक्सेल सूत्र का परिणाम क्या होगा? =FACT(0)+FACT(3)+FACT(5),126,9,127,8
2. निम्न में से कौन सा कीबोर्ड शॉर्टकट क्रोम ब्राउज़र में करंट टैब के राइट जाने के लिए उपयोग किया जाता है?,Ctrl + Shift + Tab,Ctrl + Tab,Alt + Left arrow,Ctrl + Page up
3. MS Word डॉक्यूमेंट में पैराग्राफ को इंडेंट करने के लिए निम्नलिखित में से किस कीबोर्ड शॉर्टकट का उपयोग किया जा सकता है?,Alt + I,Alt + T,Ctrl + I,Ctrl + M
4. निम्नलिखित में से कौनसी वस्तु जब हम एमएस एक्सेल में एक नई वर्कबुक खोलते हैं तो स्क्रीन के सबसे ऊपरी हिस्से पर दिखाई देती है?,क्षैतिज स्क्रॉल बार,अनुलंब स्क्रॉल बार,स्टेटस बार,टाइटल बार
"5. निम्नलिखित में से कौन सा कथन गलत है? (i) MS वर्ड में, एक ही पैराग्राफ में दोनों हो सकते हैं, बायां और साथ ही दायां एलाइनमेंट भी। (ii) MS वर्ड में, Ctrl + Enter दबाकर एक पैराग्राफ बनाया जाता है।",केवल (i),ना ही (i) और ना ही (ii),दोनों (i) और (ii),केवल (ii)
6. MS एक्सेल में किसी वर्कशीट के शीर्ष पर निम्नलिखित में से कौन दिखाई देता है?,क्षैतिज स्क्रॉल बार,अनुलंब स्क्रॉल बार,स्टेटस बार,फॉर्मूला बार
7. MS एक्सेल वर्कशीट में निरंतर सेलों की एक श्रृंखला का चयन करने के लिए निम्नलिखित में से किस की का उपयोग किया जाता है?,Alt,Shift,Tab,Ctrl
8. निम्नलिखित में से कौन सा कीबोर्ड शॉर्टकट एमएस वर्ड में एक खुली फाइल को सेव करने के लिए CTRL + $ के बराबर है?,Shift + F5,Ctrl + F5,Shift + F12,Ctrl + F12
9. MS वर्ड में टेक्स्ट के कई टुकड़ों में टेक्स्ट के फॉन्ट रंग और आकार को लागू करने के लिए निम्न में से किस टूल का उपयोग किया जा सकता है?,इरेज़र,रिप्लेस,शो/हाईड बटन,फॉर्मेट पेंटर
10. निम्नलिखित में से कौन सा करैक्टर ईमेल आईडी का एक हिस्सा होना चाहिए?,डॉट (.),डॉलर ($),ऐंपरसेंड (&),एट द रेट (@)
11. निम्नलिखित में से कौन सा एक शब्द संसाधन सॉफ्टवेयर नहीं है?,एमएस एक्सेल,एमएस वर्ड,वर्डपैड,नोटपैड
12. संबंधित वेब पृष्ठों का एक संग्रह कहा जाता है:,सर्च इंजन,वेबसाइट,स्टेटस बार,टाइटल बार
13. एमएस एक्सेल २०१० में एक रो की अधिकतम ऊंचाई कितनी होती है?,२५५ पॉइंट्स,१०० पॉइंट्स,४०९ पॉइंट्स,१२८ पॉइंट्स
14. विषम को चुनिए।,इंटरनेट एक्स्प्लोरर,सफारी,फाइल एक्स्प्लोरर,एमएस एक्सेल
"15. निम्नलिखित MS एक्सेल फार्मूला का मान क्या है? =SUMSQ(1, 2, 3, 4)",10,34,30,24
16. MS वर्ड २०१० डॉक्यूमेंट को बंद करने के लिए निम्नलिखित में से किस कीबोर्ड शॉर्टकट का प्रयोग किया जाता है?,Ctrl + E,Ctrl + W,Ctrl + N,Ctrl + O
17. निम्नलिखित डोमेन नाम के एक्सटेंशन को उनकी संबंधित परिभाषाओं के साथ मिलाइए। 1) .gov - A) गवर्नमेंट एजेंसीज 2) .org - B) नॉन प्रॉफिट आर्गेनाइजेशन 3) .edu - C) एजुकेशनल आर्गेनाइजेशन 4) .net - D) नेटवर्क आर्गेनाइजेशन,1-A,2-D,3-C,4-B
18. निम्नलिखित MS वर्ड २०१० कीबोर्ड शॉर्टकट का प्रयोग किसके लिए किया जाता है?,Ctrl + P,Ctrl + F,Ctrl + S,Ctrl + Q
19. MS एक्सेल में कार्यपुस्तिका (Workbook) को बंद करने के लिए किस शॉर्टकट का उपयोग किया जाता है?,Alt + F4,Ctrl + W,Ctrl + F4,Ctrl + O
20. निम्नलिखित में से कौन सा शॉर्टकट MS एक्सेल में पंक्ति की अधिकतम ऊंचाई बदलने के लिए प्रयोग किया जाता है?,Alt + O + R + E,Ctrl + Shift + F,Ctrl + Shift + P,Alt + E + I + R
